R(3,7)|        20      21  22|         
------+----------------------+---------
    44|        15            |15       
    45|       479            |479      
    46|     10119            |10119    
    47|    132965            |132965   
    48|   1090842            |1090842  
    49|   5739644            |5739644  
    50|  19881383            |19881383 
    51|  46242774       4    |46242778 
    52|  72835570      70    |72835640 
    53|  77635273     717    |77635990 
    54|  55558015    5167    |55563182 
    55|  26333518   27289    |26360807 
    56|   8092075   97249    |8189324  
    57|   1555701  219623    |1775324  
    58|    174698  307464    |482162   
    59|      9843  267374    |277217   
    60|       232  142741   1|142974   
    61|             43923   6|43929    
    62|              6484  30|6514     
    63|               331  60|391      
    64|                    59|59       
    65|                    25|25       
    66|                    10|10       
------+----------------------+---------
      | 315293146 1118436 191|316411773
