R(4,3)| 1 2 3 4 5  6 7 8|  
------+-----------------+--
     0| 1 1             |2 
     1|   1 1           |2 
     2|     1 1         |2 
     3|     1 2         |3 
     4|       2 1       |3 
     5|       1 2       |3 
     6|         3  1    |4 
     7|         2  1    |3 
     8|         1  3    |4 
     9|            4    |4 
    10|            4    |4 
    11|            1 1  |2 
    12|            1 2  |3 
    13|              3  |3 
    14|              2  |2 
    15|              1  |1 
    16|                1|1 
    17|                1|1 
    18|                1|1 
------+-----------------+--
      | 1 2 3 6 9 15 9 3|48
