R(C4,6)| 1 2 3 4  5  6   7   8   9   10    11    12    13    14    15  16 17|      
-------+--------------------------------------------------------------------+------
      0| 1 1 1 1  1                                                         |5     
      1|   1 1 1  1  1                                                      |5     
      2|     1 2  2  2   1                                                  |8     
      3|     1 3  4  5   4   1                                              |18    
      4|       1  5  8   8   4   1                                          |27    
      5|          4 12  17  13   3    1                                     |50    
      6|          1 11  28  33  13    2                                     |88    
      7|             4  30  63  45    9     1                               |152   
      8|                17  85 117   37     4                               |260   
      9|                 5  72 222  135    19     1                         |454   
     10|                    31 274  380    82     5                         |772   
     11|                     5 197  757   316    25     1                   |1301  
     12|                        74  944  1005   115     5                   |2143  
     13|                        10  649  2299   483    22     1             |3464  
     14|                            221  3237  1753    97     3             |5311  
     15|                             34  2484  4859   425    11     1       |7814  
     16|                              2   931  8783  1624    47     1       |11388 
     17|                                  146  8847  5166   188     3       |14350 
     18|                                   11  4402 12436   703    11       |17563 
     19|                                        946 19102  2280    36       |22364 
     20|                                         82 15468  6151   112       |21813 
     21|                                          3  5618 13091   330       |19042 
     22|                                              785 19290   823       |20898 
     23|                                               38 15181  1815       |17034 
     24|                                                2  4933  3522       |8457  
     25|                                                    565  5487       |6052  
     26|                                                     24  5294   1   |5319  
     27|                                                      1  2275  12   |2288  
     28|                                                          338  68   |406   
     29|                                                           20 166   |186   
     30|                                                            2 204   |206   
     31|                                                               97   |97    
     32|                                                               11   |11    
     33|                                                                2   |2     
     34|                                                                   1|1     
     35|                                                                   4|4     
-------+--------------------------------------------------------------------+------
       | 1 2 4 8 18 43 110 307 956 3171 10535 30304 60789 62469 20070 561  5|189353
