R(C5,6)| 1 2 3  4  5  6   7   8    9   10    11    12    13     14     15     16    17    18   19  20|      
-------+---------------------------------------------------------------------------------------------+------
      0| 1 1 1  1  1                                                                                 |5     
      1|   1 1  1  1  1                                                                              |5     
      2|     1  2  2  2   1                                                                          |8     
      3|     1  3  4  5   4   1                                                                      |18    
      4|        2  6  9   9   4    1                                                                 |31    
      5|        1  5 14  19  13    3    1                                                            |56    
      6|        1  5 19  37  39   13    2                                                            |116   
      7|           2 17  53  86   50    9     1                                                      |218   
      8|              9  58 153  149   39     3                                                      |411   
      9|              3  41 204  352  157    19     1                                                |777   
     10|                 16 182  606  505    83     5                                                |1397  
     11|                  4  99  701 1247   356    25     1                                          |2433  
     12|                  2  42  537 2096  1266   124     5                                          |4072  
     13|                     12  275 2276  3339   573    25      1                                   |6501  
     14|                      3  105 1612  5724  2223   127      3                                   |9797  
     15|                      2   35  808  6160  6446   628     18      1                            |14098 
     16|                      1   16  325  4086 12371  2618     93      2                            |19512 
     17|                           6  151  1730 14563  8549    465      9                            |25473 
     18|                           3   76   510 10248 19341   2104     46      1                     |32329 
     19|                           1   39   133  4336 27331   7635    242      3                     |39720 
     20|                           1   19    32  1163 22578  20373   1132     16                     |45314 
     21|                               10    12   238 10579  36121   4548     84     1               |51593 
     22|                                4     3    64  2723  38498  13985    414     4               |55695 
     23|                                2     1    19   409  22935  30475   1787    19               |55647 
     24|                                1           6    50   7344  42577   6268    99     1         |56346 
     25|                                1           2     6   1207  34813  16164   460     4         |52657 
     26|                                            1     1     98  15359  28471  1777    17         |45724 
     27|                                                         9   3430  31303  5357    78    1    |40178 
     28|                                                         2    365  19680 11366   326    2    |31741 
     29|                                                               22   6671 15785  1098    9    |23585 
     30|                                                                1   1236 13203  2737   37   1|17215 
     31|                                                                     127  6184  4589  133   1|11034 
     32|                                                                      11  1582  4763  371   3|6730  
     33|                                                                       1   272  2757  739  10|3779  
     34|                                                                            44   833  901  30|1808  
     35|                                                                             5   163  627  58|853   
     36|                                                                             1    30  228  88|347   
     37|                                                                                   6   42  72|120   
     38|                                                                                        4  38|42    
     39|                                                                                           14|14    
     40|                                                                                            4|4     
-------+---------------------------------------------------------------------------------------------+------
       | 1 2 4 11 26 79 244 841 2854 9380 23458 52408 94971 136906 147007 112237 56159 17402 3094 319|657403
