R(3,5)| 1 2 3 4  5  6  7   8   9  10  11 12 13|    
------+---------------------------------------+----
     0| 1 1 1 1                               |4   
     1|   1 1 1  1                            |4   
     2|     1 2  2  1                         |6   
     3|       2  3  3  1                      |9   
     4|       1  4  6  2   1                  |14  
     5|          2  8  7   1                  |18  
     6|          1  7 13   5                  |26  
     7|             4 17  13   1              |35  
     8|             2 15  27   3              |47  
     9|             1 10  39  11              |61  
    10|                4  41  28   1          |74  
    11|                1  27  59   2          |89  
    12|                1  15  73  10          |99  
    13|                    6  62  32          |100 
    14|                    2  33  69          |104 
    15|                    1  14  86   1      |102 
    16|                    1   4  65   6      |76  
    17|                        2  32  19      |53  
    18|                           12  31      |43  
    19|                            3  30      |33  
    20|                            1  13  1   |15  
    21|                                4  2   |6   
    22|                                1  5   |6   
    23|                                   2   |2   
    24|                                   2   |2   
    25|                                       |0   
    26|                                      1|1   
------+---------------------------------------+----
      | 1 2 3 7 13 32 71 179 290 313 105 12  1|1029
