R(4,4)| 1 2 3 4  5  6   7    8     9     10     11      12      13     14  15 16 17|       
------+----------------------------------------------------------------------------+-------
     0| 1 1 1                                                                      |3      
     1|   1 1 1                                                                    |3      
     2|     1 2  1                                                                 |4      
     3|     1 3  3  1                                                              |8      
     4|       2  5  2                                                              |9      
     5|       1  6  7   1                                                          |15     
     6|          5 14   4                                                          |23     
     7|          3 18  12    1                                                     |34     
     8|          1 18  29    3                                                     |51     
     9|            14  57   11     1                                               |83     
    10|             7  78   38     1                                               |124    
    11|             2  78  111     5                                               |196    
    12|             1  57  244    18                                               |320    
    13|                29  398    73                                               |500    
    14|                12  467   257      1                                        |737    
    15|                 4  398   768      5                                        |1175   
    16|                 1  244  1719     34                                        |1998   
    17|                    111  2831    177                                        |3119   
    18|                     38  3355    814                                        |4207   
    19|                     11  2831   2963      1                                 |5806   
    20|                      3  1719   8193      7                                 |9922   
    21|                      1   768  16396     72                                 |17237  
    22|                          257  23270    546                                 |24073  
    23|                           73  23270   3201                                 |26544  
    24|                           18  16396  13695                                 |30109  
    25|                            5   8193  41553                                 |49751  
    26|                            1   2963  87361       8                         |90333  
    27|                            1    814 126742     177                         |127734 
    28|                                 177 126742    1906                         |128825 
    29|                                  34  87361   13332                         |100727 
    30|                                   5  41553   58131                         |99689  
    31|                                   1  13695  163757                         |177453 
    32|                                       3201  302088                         |305289 
    33|                                        546  370368      20                 |370934 
    34|                                         72  302088     535                 |302695 
    35|                                          7  163757    6339                 |170103 
    36|                                          1   58131   37825                 |95957  
    37|                                              13332  127138                 |140470 
    38|                                               1906  257711                 |259617 
    39|                                                177  325095                 |325272 
    40|                                                  8  257711                 |257719 
    41|                                                     127138     40          |127178 
    42|                                                      37825    872          |38697  
    43|                                                       6339   6247          |12586  
    44|                                                        535  20901          |21436  
    45|                                                         20  37348          |37368  
    46|                                                             37348          |37348  
    47|                                                             20901          |20901  
    48|                                                              6247          |6247   
    49|                                                               872          |872    
    50|                                                                40  13      |53     
    51|                                                                    96      |96     
    52|                                                                   211      |211    
    53|                                                                   211      |211    
    54|                                                                    96      |96     
    55|                                                                    13      |13     
    56|                                                                            |0      
    57|                                                                            |0      
    58|                                                                            |0      
    59|                                                                            |0      
    60|                                                                        2   |2      
    61|                                                                            |0      
    62|                                                                            |0      
    63|                                                                            |0      
    64|                                                                            |0      
    65|                                                                            |0      
    66|                                                                            |0      
    67|                                                                            |0      
    68|                                                                           1|1      
------+----------------------------------------------------------------------------+-------
      | 1 2 4 9 24 84 362 2079 14701 103706 546356 1449166 1184231 130816 640  2  1|3432184
