R(C4,5)| 1 2 3 4  5  6  7   8   9  10  11  12 13|    
-------+----------------------------------------+----
      0| 1 1 1 1                                |4   
      1|   1 1 1  1                             |4   
      2|     1 2  2  1                          |6   
      3|     1 3  4  4  1                       |13  
      4|       1  5  7  3   1                   |17  
      5|          4 11 10   2                   |27  
      6|          1 11 22   9   1               |44  
      7|             4 27  27   4               |62  
      8|               17  53  16   1           |87  
      9|                5  62  50   5           |122 
     10|                   31 108  18   1       |158 
     11|                    5 130  55   3       |193 
     12|                       66 138  10   1   |215 
     13|                       10 200  32   1   |243 
     14|                          126  75   3   |204 
     15|                           29 129   9   |167 
     16|                            2 139  15   |156 
     17|                               59  22   |81  
     18|                                9  33   |42  
     19|                                   25   |25  
     20|                                   14   |14  
     21|                                    3   |3   
     22|                                        |0   
     23|                                        |0   
     24|                                       1|1   
-------+----------------------------------------+----
       | 1 2 4 8 17 38 85 190 385 574 457 126  1|1888
