R(C4,8)|        23     24 25|         
-------+--------------------+---------
     40|         1          |1        
     41|        13          |13       
     42|       201          |201      
     43|      3163          |3163     
     44|     45401          |45401    
     45|    562857          |562857   
     46|   4952017          |4952017  
     47|  26757142          |26757142 
     48|  81216009      1   |81216010 
     49| 124654226      6   |124654232
     50|  86582597     48   |86582645 
     51|  25149548    394   |25149942 
     52|   2947136   3133   |2950269  
     53|    142000  21116   |163116   
     54|      3142  60646   |63788    
     55|        41  57944   |57985    
     56|         1  18863   |18864    
     57|             2102   |2102     
     58|               96  2|98       
     59|                4 10|14       
     60|                  15|15       
     61|                   9|9        
-------+--------------------+---------
       | 353015495 164353 36|353179884
