R(C5,4)| 1 2 3  4  5  6  7  8  9 10 11 12|   
-------+---------------------------------+---
      0| 1 1 1                           |3  
      1|   1 1  1                        |3  
      2|     1  2  1                     |4  
      3|     1  3  3  1                  |8  
      4|        2  5  2                  |9  
      5|        1  5  6  1               |13 
      6|        1  5 13  3               |22 
      7|           2 13 11  1            |27 
      8|              7 18  3            |28 
      9|              2 19 10  1         |32 
     10|                 8 23  2         |33 
     11|                 2 25  6         |33 
     12|                 1 15 17  1      |34 
     13|                    4 27  3      |34 
     14|                      16  8      |24 
     15|                       4 16  1   |21 
     16|                         16  2   |18 
     17|                          6  5   |11 
     18|                          2  7  1|10 
     19|                             4  1|5  
     20|                                2|2  
     21|                                2|2  
-------+---------------------------------+---
       | 1 2 4 10 21 44 63 81 73 52 19  6|376
